dim	coefficient
672	0.054263968
673	0.04170478
674	0.04132096
675	-0.017666426
676	-0.06274633
677	-0.014745258
678	0.005237328
679	-0.020596422
680	0.002783388
681	0.025683928
682	-0.08321033
683	0.06313375
684	0.120757766
685	-0.086112164
686	0.0113071725
687	-0.005042045
688	0.08665284
689	-0.12831436
690	0.090408534
691	0.008122064
692	-0.10600872
693	0.052600924
694	0.1622699
695	0.034379736
696	0.07194805
697	-0.007667351
698	-0.022925457
699	-0.039368615
700	-0.021780562
701	-0.036960036
702	-0.01944147
703	-0.04850636
704	0.15736909
705	0.00035288394
706	-0.002265533
707	-0.06891737
708	-0.04090662
709	0.0310431
710	0.085379116
711	-0.026588012
712	0.087079644
713	0.13855737
714	-0.0068074474
715	0.11323561
716	0.0332443
717	-0.0018870812
718	0.0010239966
719	-0.04640019
720	0.07047105
721	-0.09948933
722	0.13034579
723	0.04082072
724	-0.08267545
725	-0.004073393
726	0.01867225
727	0.03819688
728	0.061926648
729	-0.048733626
730	0.07644411
731	-0.009692637
732	0.043889396
733	-0.0018477831
734	-0.00803588
735	0.055486277
736	0.059411053
737	0.04049017
738	0.014100505
739	-0.010461081
740	0.047803503
741	-0.04368697
742	-0.06482291
743	-0.06940731
744	0.059517473
745	0.0033697889
746	0.061692942
747	0.05119867
748	-0.066817775
749	0.0031685936
750	-0.037289295
751	-0.019719696
752	0.063810565
753	0.0032662638
754	0.013475036
755	-0.024160262
756	-0.017148249
757	0.050084762
758	0.0027486142
759	0.033240125
760	0.031560224
761	0.004720855
762	0.064713426
763	0.028750908
764	0.016949376
765	0.021983389
766	-0.07488689
767	-0.006424059
